x = 80.000000, y = 20.000000, fi = 250.000000 (ªì©l­È)
x = 79.533613, y = 19.115419, fi = 242.200000 
x = 78.945864, y = 18.306376, fi = 234.002517 
x = 78.244166, y = 17.593902, fi = 225.436619 
x = 77.440787, y = 16.998433, fi = 216.546033 
x = 76.557683, y = 16.529255, fi = 207.980940 
x = 75.617954, y = 16.187335, fi = 199.993899 
x = 74.641687, y = 15.970765, fi = 192.507645 
x = 73.646202, y = 15.875845, fi = 185.446764 
x = 72.647276, y = 15.829520, fi = 182.655172 
x = 71.647775, y = 15.797929, fi = 181.810283 
x = 70.648120, y = 15.771648, fi = 181.505988 
x = 69.648423, y = 15.747066, fi = 181.408570 
x = 68.648433, y = 15.751709, fi = 179.733982 
x = 67.651708, y = 15.832566, fi = 175.362202 
x = 66.666696, y = 16.005056, fi = 170.067376 
x = 65.705500, y = 16.280920, fi = 163.986471 
x = 64.787538, y = 16.677590, fi = 156.629853 
x = 63.940846, y = 17.209672, fi = 147.853711 
x = 63.178289, y = 17.856593, fi = 139.690143 
x = 62.498075, y = 18.589607, fi = 132.860382 
x = 61.781780, y = 19.287405, fi = 135.749391 
x = 61.076033, y = 19.995869, fi = 134.889946 
x = 60.366722, y = 20.700764, fi = 135.178923 
x = 59.659128, y = 21.407384, fi = 135.039438 
x = 58.950892, y = 22.113359, fi = 135.091591 
x = 58.242488, y = 22.819166, fi = 135.105248 
x = 57.533731, y = 23.524619, fi = 135.133852 
x = 56.824680, y = 24.229776, fi = 135.157723 
x = 56.115308, y = 24.934610, fi = 135.183883 
x = 55.405614, y = 25.639121, fi = 135.209974 
x = 54.695591, y = 26.343299, fi = 135.236780 
x = 54.000075, y = 27.061810, fi = 134.068389 
x = 53.332297, y = 27.806170, fi = 131.895819 
x = 52.691100, y = 28.573547, fi = 129.881098 
x = 52.081081, y = 29.365933, fi = 127.590903 
x = 51.529686, y = 30.200177, fi = 123.462778 
x = 51.069909, y = 31.088212, fi = 117.372694 
x = 50.743461, y = 32.033427, fi = 109.053299 
x = 50.562308, y = 33.016882, fi = 100.436921 
x = 50.508906, y = 34.015455, fi = 93.061194 
x = 50.458828, y = 35.014201, fi = 92.870479 
x = 50.412111, y = 36.013109, fi = 92.677649 
x = 50.368718, y = 37.012167, fi = 92.487021 
x = 50.328569, y = 38.011360, fi = 92.300998 
x = 50.291559, y = 39.010675, fi = 92.120967 
x = 50.257571, y = 40.010098, fi = 91.947782 
x = 50.226474, y = 41.009614, fi = 91.781999 
x = 50.198134, y = 42.009212, fi = 91.623981 
x = 50.172411, y = 43.008881, fi = 91.473980 
x = 50.149162, y = 44.008611, fi = 91.332149 
x = 50.128244, y = 45.008392, fi = 91.198601 
x = 50.109512, y = 46.008217, fi = 91.073370 
x = 50.092819, y = 47.008078, fi = 90.956439 
x = 50.078024, y = 48.007968, fi = 90.847749 
x = 50.064983, y = 49.007883, fi = 90.747194 
x = 50.053558, y = 50.007818, fi = 90.654616 
x = 50.043613, y = 51.007768, fi = 90.569820 
x = 50.035016, y = 52.007731, fi = 90.492573 
x = 50.027641, y = 53.007704, fi = 90.422594 
x = 50.021365, y = 54.007684, fi = 90.359583 
x = 50.016073, y = 55.007670, fi = 90.303198 
x = 50.011656, y = 56.007661, fi = 90.253074 
x = 50.008012, y = 57.007654, fi = 90.208826 
x = 50.005044, y = 58.007650, fi = 90.170053 
x = 50.002664, y = 59.007647, fi = 90.136348 
x = 50.000791, y = 60.007645, fi = 90.107299 
x = 49.999351, y = 61.007644, fi = 90.082492 
x = 49.998277, y = 62.007643, fi = 90.061559 
x = 49.997507, y = 63.007643, fi = 90.044108 
x = 49.996988, y = 64.007643, fi = 90.029741 
x = 49.996673, y = 65.007643, fi = 90.018061 
x = 49.996521, y = 66.007643, fi = 90.008728 
x = 49.996496, y = 67.007643, fi = 90.001411 
x = 49.996569, y = 68.007643, fi = 89.995811 
x = 49.996714, y = 69.007643, fi = 89.991669 
x = 49.996911, y = 70.007643, fi = 89.988741 
x = 49.997141, y = 71.007643, fi = 89.986808 
x = 49.997391, y = 72.007643, fi = 89.985689 
x = 49.997649, y = 73.007643, fi = 89.985212 
x = 49.997907, y = 74.007643, fi = 89.985238 
x = 49.998157, y = 75.007643, fi = 89.985642 
x = 49.998396, y = 76.007643, fi = 89.986327 
x = 49.998619, y = 77.007643, fi = 89.987202 
x = 49.998825, y = 78.007643, fi = 89.988203 
x = 49.999012, y = 79.007643, fi = 89.989273 
x = 49.999180, y = 80.007643, fi = 89.990367 
x = 49.999330, y = 81.007643, fi = 89.991451 
x = 49.999461, y = 82.007643, fi = 89.992498 
x = 49.999574, y = 83.007643, fi = 89.993492 
x = 49.999672, y = 84.007643, fi = 89.994413 
x = 49.999754, y = 85.007643, fi = 89.995262 
x = 49.999824, y = 86.007643, fi = 89.996033 
x = 49.999881, y = 87.007643, fi = 89.996722 
x = 49.999927, y = 88.007643, fi = 89.997332 
x = 49.999965, y = 89.007643, fi = 89.997865 
x = 49.999994, y = 90.007643, fi = 89.998326 
x = 50.000016, y = 91.007643, fi = 89.998715 
x = 50.000033, y = 92.007643, fi = 89.999047 
x = 50.000045, y = 93.007643, fi = 89.999329 
x = 50.000052, y = 94.007643, fi = 89.999561 
x = 50.000057, y = 95.007643, fi = 89.999750 
x = 50.000058, y = 96.007643, fi = 89.999899 
x = 50.000058, y = 97.007643, fi = 90.000012 
x = 50.000057, y = 98.007643, fi = 90.000097 
x = 50.000054, y = 99.007643, fi = 90.000161 
x = 50.000050, y = 100.007643, fi = 90.000206 
